,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
2,7.82250436793527,1.0,6.651791487715673,6.651791487715673,0.0,0.0,1.0,0.0,0.0,2.5649493574615367,8.922791623969637,6.434653643065494,6.442993546160168,0.0,12,2
4,6.70773522569534,1.0,2.833213344056216,2.833213344056216,0.0,0.0,0.083333,0.0,0.0,0.6931471805599453,7.0909098220799835,6.521114029626576,5.5044825455607045,0.0,12,2
9,5.031913792542936,0.545455,7.156644546714762,7.156644546714762,0.0,0.0,0.166667,0.0,0.0,1.3862943611198906,9.305741456739435,7.06113759883932,4.618108740719055,0.0,12,2
11,6.448564569245062,0.818182,7.308663352897687,7.308663352897687,0.0,0.0,0.25,0.0,0.0,1.9459101490553132,7.601402334583733,6.560491096026781,5.053369500772936,0.0,12,2
33,4.841509907585915,1.0,6.458009075556836,6.458009075556836,0.0,0.0,0.916667,0.0,0.0,2.4849066497880004,7.0909098220799835,6.050793496962728,5.2847349669616435,0.3,12,2
42,8.320134161099263,1.0,5.322131544647291,5.322131544647291,0.0,0.0,0.083333,0.0,0.0,0.6931471805599453,8.412054873292933,6.767659847255586,7.4967993979574,0.0,12,2
60,7.539087709835567,0.727273,4.736198448394496,4.736198448394496,0.0,0.0,0.166667,0.0,0.0,1.0986122886681098,8.77971129020447,8.16356689875695,6.308291202529203,0.0,12,2
61,7.350383665303308,1.0,4.207673247529104,4.207673247529104,0.0,0.0,0.083333,0.0,0.0,0.6931471805599453,7.3783837129967145,5.826246864544016,6.731275434910505,0.0,12,2
69,7.438639665474121,1.0,7.21868257559943,7.21868257559943,0.0,0.0,0.333333,0.0,0.0,1.6094379124341003,7.438971592395862,7.393150071761594,6.829259398021747,0.0,12,2
76,7.45508935392666,1.0,6.408709993751677,6.408709993751677,0.0,0.0,1.0,0.0,0.0,2.8903717578961645,9.305741456739435,7.993255493563906,6.437202687884413,0.0,12,2
85,4.912045891513179,1.0,7.129938369201223,7.129938369201223,0.0,0.0,1.0,0.0,0.0,3.1354942159291497,9.711176264112805,7.151665256518504,5.149569003726273,1.0,12,2
96,7.39077119748822,1.0,6.607244604091484,6.607244604091484,0.0,0.0,0.666667,0.0,0.0,2.4849066497880004,8.699681400989514,6.035788878081494,5.966501847859993,0.0,12,2
100,1.770856686983286,0.666667,3.044522437723423,3.044522437723423,0.0,0.0,0.111111,0.0,0.0,0.6931471805599453,7.313886831633462,3.3137465990571076,4.125739493280924,0.0,9,2
125,7.780686523789863,1.0,9.430554837704511,9.430554837704511,0.0,0.0,0.916667,0.0,0.0,5.384495062789089,7.937731775260109,9.361318788635828,7.601897424899848,0.0,12,2
140,6.8544924779680025,1.0,5.288570015093157,5.008366054652212,3.899950424193877,0.0,0.25,0.166667,0.0,1.791759469228055,6.90875477931522,6.2009156208437615,6.235163740171027,0.0,12,2
145,8.025647363195684,1.0,6.933423025730715,6.933423025730715,0.0,0.0,0.083333,0.0,0.0,1.0986122886681098,8.922791623969637,6.5508718776033765,6.710136513418341,0.0,12,2
159,6.954037930539315,1.0,5.69035945432406,5.69035945432406,0.0,4.54944401775926,0.083333,0.0,0.6931471805599453,1.0986122886681098,7.0909098220799835,6.087699485554833,5.896709222093264,0.0,12,2
190,3.67922409075358,0.727273,5.639777144680289,5.639777144680289,0.0,0.0,0.25,0.0,0.0,1.3862943611198906,8.724369949208368,5.542803472586815,4.03953174825184,0.090909,12,2
194,8.29027344549524,1.0,6.630076341269903,6.630076341269903,0.0,0.0,0.5,0.0,0.0,2.772588722239781,8.294299608857235,7.013799407823217,7.266967820195742,0.0,12,2
198,7.588229983832199,1.0,6.773080375655535,6.773080375655535,0.0,0.0,0.166667,0.0,0.0,1.791759469228055,8.987321812850125,6.296598198541751,6.638152564229121,0.0,12,2
200,3.7865481912430408,0.454545,5.916202062607435,5.916202062607435,0.0,0.0,0.166667,0.0,0.0,1.0986122886681098,10.043292972227004,7.100896606213867,4.244565860703615,0.0,12,2
